accID,Involving
9369,Motorcycle
9379,Heavy Truck
9393,Heavy Truck
9397,Heavy Truck
9400,Bicycle
9403,Heavy Truck
9410,Heavy Truck
9414,Heavy Truck
9415,Pedestrian
9432,Motorcycle
9435,Heavy Truck
9442,Heavy Truck
9472,Heavy Truck
9501,Heavy Truck
9505,Motorcycle
9512,Heavy Truck
9527,Heavy Truck
9562,Motorcycle
9569,Bicycle
9581,Motorcycle
9590,Pedestrian
9613,Heavy Truck
9622,Heavy Truck
9647,Motorcycle
9650,Motorcycle
9658,Motorcycle
9659,Heavy Truck
9663,Bicycle
9668,Motorcycle
9729,Heavy Truck
9739,Motorcycle
9748,Bicycle
9759,Heavy Truck
9774,Heavy Truck
9782,Heavy Truck
9783,Heavy Truck
9829,Heavy Truck
9839,Motorcycle
9843,Motorcycle
9852,Heavy Truck
9889,Bicycle
9899,Heavy Truck
9904,Motorcycle
9926,Heavy Truck
9942,Heavy Truck
9949,Motorcycle
10048,Heavy Truck
10081,Heavy Truck
10087,Heavy Truck
10089,Bicycle
10133,Heavy Truck
10138,Heavy Truck
10140,Heavy Truck
10145,Heavy Truck
10146,Pedestrian
10150,Motorcycle
10154,Bicycle
10157,Motorcycle
10172,Motorcycle
10173,Pedestrian
10192,Heavy Truck
10198,Heavy Truck
10207,Heavy Truck
10232,Bicycle
10268,Heavy Truck
10275,Heavy Truck
10281,Pedestrian
10290,Bicycle
10300,Pedestrian
10307,Heavy Truck
10308,Pedestrian
10314,Bicycle
10315,Heavy Truck
10331,Pedestrian
10337,Heavy Truck
10347,Heavy Truck
10352,Heavy Truck
10377,Heavy Truck
10398,Motorcycle
10407,Heavy Truck
10413,Motorcycle
10418,Heavy Truck
10428,Heavy Truck
10439,Heavy Truck
10455,Motorcycle
10466,Bicycle
10469,Heavy Truck
10492,Heavy Truck
10513,Heavy Truck
10529,Heavy Truck
10530,Heavy Truck
10531,Heavy Truck
10534,Motorcycle
10611,Heavy Truck
10646,Heavy Truck
10656,Motorcycle
10708,Heavy Truck
10733,Motorcycle
10777,Heavy Truck
10799,Heavy Truck
10838,Bicycle
10840,Heavy Truck
10842,Motorcycle
10848,Motorcycle
10849,Motorcycle
10888,Heavy Truck
10892,Heavy Truck
10916,Pedestrian
10928,Motorcycle
10936,Motorcycle
10944,Motorcycle
10951,Heavy Truck
10984,Heavy Truck
10988,Motorcycle
10992,Motorcycle
11006,Bicycle
11007,Motorcycle
11011,Heavy Truck
11012,Heavy Truck
11062,Pedestrian
11100,Heavy Truck
11109,Heavy Truck
11110,Pedestrian
11120,Pedestrian
11149,Pedestrian
11152,Heavy Truck
11162,Motorcycle
11177,Bicycle
11179,Heavy Truck
11182,Pedestrian
11191,Heavy Truck
11199,Heavy Truck
11209,Heavy Truck
11221,Heavy Truck
11277,Heavy Truck
11328,Heavy Truck
11339,Heavy Truck
11362,Motorcycle
11364,Heavy Truck
11368,Pedestrian
11382,Pedestrian
11392,Pedestrian
11396,Heavy Truck
11408,Heavy Truck
11416,Pedestrian
11439,Bicycle
11446,Bicycle
11464,Heavy Truck
11476,Motorcycle
11494,Heavy Truck
11505,Heavy Truck
11508,Bicycle
11523,Heavy Truck
11553,Motorcycle
11559,Heavy Truck
11584,Heavy Truck
11621,Heavy Truck
11630,Pedestrian
11640,Pedestrian
11641,Motorcycle
11651,Heavy Truck
11672,Heavy Truck
11678,Heavy Truck
11682,Heavy Truck
11683,Heavy Truck
11693,Motorcycle
11694,Motorcycle
11700,Motorcycle
11719,Motorcycle
11729,Bicycle
11734,Heavy Truck
11767,Motorcycle
11772,Heavy Truck
11773,Motorcycle
11775,Pedestrian
11776,Motorcycle
11778,Heavy Truck
11780,Motorcycle
11787,Motorcycle
11819,Bicycle
11835,Heavy Truck
11838,Pedestrian
11848,Heavy Truck
11854,Motorcycle
11870,Heavy Truck
11884,Heavy Truck
11912,Bicycle
11913,Heavy Truck
11915,Heavy Truck
11925,Heavy Truck
11944,Pedestrian
11973,Bicycle
11981,Heavy Truck
11995,Pedestrian
12015,Bicycle
12021,Heavy Truck
12030,Heavy Truck
12053,Motorcycle
12101,Heavy Truck
12102,Heavy Truck
12105,Motorcycle
12107,Motorcycle
12110,Heavy Truck
12139,Pedestrian
12141,Heavy Truck
12187,Bicycle
12197,Heavy Truck
12237,Bicycle
12242,Heavy Truck
12243,Pedestrian
12277,Heavy Truck
12283,Heavy Truck
12284,Heavy Truck
12285,Bicycle
12295,Bicycle
12297,Motorcycle
12304,Motorcycle
12309,Heavy Truck
12313,Pedestrian
12314,Heavy Truck
12321,Motorcycle
12327,Motorcycle
12329,Heavy Truck
12349,Heavy Truck
12355,Heavy Truck
12375,Motorcycle
12386,Motorcycle
12406,Heavy Truck
12410,Heavy Truck
12415,Motorcycle
12419,Motorcycle
12429,Heavy Truck
12448,Motorcycle
12461,Heavy Truck
12464,Heavy Truck
12469,Heavy Truck
12473,Pedestrian
