locID,cityID,streetAddress,roadChar
307,38,SWANTON RD,Not at a Junction
308,6,Oak St,Not at a Junction
309,42,751 Maple Street,Not Reported
310,19,375 BROWNS RIVER RD,Driveway
311,94,6956 Us Rt 7,Four-way Intersection
312,115,BERLIN MALL ROAD,Not at a Junction
313,54,1554 US Route 2,Not at a Junction
314,55,Hartford Ave,Four-way Intersection
315,117,VT RT 15,Not at a Junction
316,88,124 CLARKSVILLE ROAD,Not at a Junction
317,98,US RT 5 ,Not Reported
318,118,Not Reported,Not at a Junction
319,119,US RTE 4 EB,Not at a Junction
320,120,Scott Highway,Not at a Junction
321,2,Hnesburg Road,Four-way Intersection
322,12,North St,Four-way Intersection
323,21,1668 East Road,Not at a Junction
324,28,220 Northside Drive,Not at a Junction
325,26,3032 VT RT 9,Not at a Junction
326,38,Route 104,T - Intersection
327,48,Not Reported,Not at a Junction
328,6,Linden St,Parking Lot
329,99,Charlotte Rd,Four-way Intersection
330,4,SLEEPY HOLLOW RD,Not Reported
331,2,Exit 14 North On Ramp,Not at a Junction
332,2,1095 Shelburne Road,Four-way Intersection
333,59,1 Main St,Traffic circle / roundabout
334,104,I 89 S MM78,Not Reported
335,10,500 Essex Road,T - Intersection
336,19,Colchester Rd,On Ramp
337,121,Vt Route 140E,Not at a Junction
338,122,580 US RT 7,T - Intersection
339,111,4248 VT RT. 122,Not at a Junction
340,123,RT 22a,Not at a Junction
341,124,I 93 N MM5,Not Reported
342,87,Not Reported,Not at a Junction
343,2,Kennedy  Drive,T - Intersection
344,59,298 E Allen St,Not at a Junction
345,34,MAIN STREET,Not at a Junction
346,107,US-4,Not at a Junction
347,125,1750 Roxbury Mtn Rd,Not Reported
348,59,Main St,Not at a Junction
349,15,Allen Street,T - Intersection
350,12,82 S Winooski Ave,Parking Lot
351,40,510 Baileys Mill Road,Not at a Junction
352,19,Ethan Allen Ave,T - Intersection
353,126,2035 VT RT 14N,Not at a Junction
354,127,4545 VT 133,Not at a Junction
355,6,Unknown,Parking Lot
356,69,VT RT 64 MM4 ,Not Reported
357,128,4934 VT RT 22A,Four-way Intersection
358,129,Peacham Danville Rd,Not at a Junction
359,45,4426 VT Route 100,Not at a Junction
360,115,I 89 S MM48; 48/5 ,Not Reported
361,59,400 Weaver St,Four-way Intersection
362,86,Industrial Parkway,Not at a Junction
363,28,160 Benmont Avenue,T - Intersection
364,46,Old Athens Rd,Not at a Junction
365,21,567 Main Street,Y - Intersection
366,113,3447 US Route 7N,Not at a Junction
367,19,25 JERICHO RD,Not Reported
368,19,71 UPPER MAIN ST,Not Reported
369,2,222 Dorset St,Parking Lot
370,73,Not Reported,Not at a Junction
371,2,Tilley Drive,T - Intersection
372,125,VT RTE 100,T - Intersection
373,130,1700 Block OLD SILO RD,Not Reported
374,21,Blakely Road,Not Reported
375,15,South  Main Street,Four-way Intersection
376,131,Middlebrook Road,Y - Intersection
377,13,Washington Street,Not Reported
378,122,3213 W Proctor Road,Not at a Junction
379,28,Overlea Road,Not at a Junction
380,3,2082 Depot St,Not at a Junction
381,13,16 Court St,Parking Lot
382,38,Nason St,Not at a Junction
383,108,Us ROUTE 7,Not at a Junction
384,132,Franklin Street,Not at a Junction
